label,url_length,domain_length,nb_fragments,label_num
phishing,40,15,0,1
phishing,33,22,0,1
phishing,253,17,1,1
phishing,30,17,0,1
phishing,61,36,0,1
phishing,44,36,0,1
phishing,38,20,0,1
phishing,64,36,0,1
phishing,45,27,0,1
phishing,80,7,0,1
phishing,80,7,0,1
phishing,21,13,0,1
phishing,44,35,0,1
phishing,48,39,0,1
phishing,26,18,0,1
phishing,18,10,0,1
phishing,65,23,0,1
phishing,33,25,0,1
phishing,60,16,0,1
phishing,45,17,0,1
phishing,63,17,0,1
phishing,38,30,0,1
phishing,21,13,0,1
phishing,181,159,0,1
phishing,77,28,0,1
phishing,67,28,0,1
phishing,134,113,0,1
phishing,87,66,0,1
phishing,135,113,0,1
phishing,88,66,0,1
phishing,77,28,0,1
phishing,67,28,0,1
phishing,22,14,0,1
phishing,77,28,0,1
phishing,67,28,0,1
phishing,39,30,0,1
phishing,24,16,0,1
phishing,27,10,0,1
phishing,59,24,0,1
phishing,80,72,0,1
phishing,54,21,0,1
phishing,19,11,0,1
phishing,25,17,0,1
phishing,17,9,0,1
phishing,83,71,0,1
phishing,41,16,0,1
phishing,28,16,0,1
phishing,27,19,0,1
phishing,23,14,0,1
phishing,55,18,0,1
phishing,46,13,0,1
phishing,102,42,0,1
phishing,26,18,0,1
phishing,48,13,0,1
phishing,22,13,0,1
phishing,60,22,0,1
phishing,59,51,0,1
phishing,36,28,0,1
phishing,19,11,0,1
phishing,28,15,0,1
phishing,56,20,0,1
phishing,55,17,0,1
phishing,100,78,0,1
phishing,100,78,0,1
phishing,57,32,0,1
phishing,62,36,0,1
phishing,45,19,0,1
phishing,64,30,0,1
phishing,73,28,0,1
phishing,46,25,0,1
phishing,31,23,0,1
phishing,37,29,0,1
phishing,93,72,0,1
phishing,62,40,0,1
phishing,62,40,0,1
phishing,33,25,0,1
phishing,37,29,0,1
phishing,34,26,0,1
phishing,35,26,0,1
phishing,42,33,0,1
phishing,29,17,0,1
phishing,28,18,0,1
phishing,36,28,0,1
phishing,61,53,0,1
phishing,62,54,0,1
phishing,62,54,0,1
phishing,64,56,0,1
phishing,66,58,0,1
phishing,37,22,0,1
phishing,55,26,0,1
phishing,33,25,0,1
phishing,23,14,0,1
phishing,23,14,0,1
phishing,77,32,0,1
phishing,34,26,0,1
phishing,24,16,0,1
phishing,80,7,0,1
phishing,34,26,0,1
phishing,37,29,0,1
phishing,29,21,0,1
phishing,31,23,0,1
phishing,64,56,0,1
phishing,27,18,0,1
phishing,42,34,0,1
phishing,62,41,0,1
phishing,67,45,0,1
phishing,44,35,0,1
phishing,80,7,0,1
phishing,60,38,0,1
phishing,204,182,0,1
phishing,204,182,0,1
phishing,140,118,0,1
phishing,140,118,0,1
phishing,43,35,0,1
phishing,42,34,0,1
phishing,80,7,0,1
phishing,67,19,0,1
legitimate,22,14,0,0
legitimate,20,12,0,0
legitimate,26,18,0,0
legitimate,21,13,0,0
legitimate,25,17,0,0
legitimate,22,14,0,0
legitimate,24,16,0,0
legitimate,23,15,0,0
legitimate,25,17,0,0
legitimate,24,16,0,0
legitimate,24,16,0,0
legitimate,22,14,0,0
legitimate,25,17,0,0
legitimate,22,14,0,0
legitimate,29,21,0,0
legitimate,22,14,0,0
legitimate,25,17,0,0
legitimate,29,21,0,0
legitimate,23,15,0,0
legitimate,25,17,0,0
legitimate,25,17,0,0
legitimate,19,11,0,0
legitimate,19,11,0,0
legitimate,23,15,0,0
legitimate,23,15,0,0
legitimate,25,17,0,0
legitimate,27,19,0,0
legitimate,19,11,0,0
legitimate,25,17,0,0
legitimate,25,17,0,0
legitimate,22,14,0,0
legitimate,20,12,0,0
legitimate,26,18,0,0
legitimate,23,15,0,0
legitimate,22,14,0,0
legitimate,22,14,0,0
legitimate,23,15,0,0
legitimate,20,12,0,0
legitimate,26,18,0,0
legitimate,24,16,0,0
legitimate,23,15,0,0
legitimate,21,13,0,0
legitimate,28,20,0,0
